0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2391.6831,2288.039063,318.8249,228.554657,18565.5235,15218.76074,17461.1288,15930.46484,12434.7932,12096.06348,20.7408,6.055722713,304.0126,286.9358826,51496.7069,44486.47266
2381.5887,2251.334229,256.955,177.9985352,17615.6647,14980.83594,18262.5085,12816.69141,12118.59,11706.75781,2.92,2.706905127,284.0862,253.3413849,50922.3131,44195.05859
2297.3755,2292.036865,245.3566,190.3678741,17524.9897,16777.07813,18009.9748,16917.6875,11748.87,12304.08984,8.1036,2.233977318,292.6181,290.8876648,50127.2883,49167.27734
2348.4637,2269.250732,243.0226,160.3342133,16980.5499,15267.31445,17554.0278,13441.4541,11839.6997,11940.5166,2.1794,2.611977577,309.4163,246.2379913,49277.3594,43945.83594
2328.1552,2304.112793,198.1247,181.9916534,16427.1149,13492.70605,16737.3837,10959.0957,12262.1149,11980.36816,2.5371,4.12378788,281.7608,171.5302277,48237.1913,38216.01953
2251.08,2370.635742,210.14,227.7473755,15990.2887,15090.00098,16552.5464,15062.37695,12419.67,12554.91504,2.5712,4.566438198,288.1993,247.0849152,47714.4956,44919.64844
2280.88,2249.897461,214.15,167.587265,15972.1785,17102.01367,16699.5531,17046.15625,11951.66,12166.72656,2.2582,4.280521393,285.3776,331.2358704,47406.0574,48200.71875
2246.35,2277.397949,210.3184,203.5734711,15815.21,15164.35645,16453.5442,11847.90723,12603.9557,11575.91016,1.5771,4.105700016,276.631,276.5276489,47607.5864,40232.47266
2269.1,2349.008301,205.4,268.7070007,16365.1196,18098.07617,17253.4014,14512.15234,11925.3091,11810.85254,1.2475,4.640388966,268.2733,304.2957153,48287.8509,46903.65234
2276.4,2311.041016,225.8066,269.3135986,17004.8673,16872.89063,17719.2698,15831.70605,11442.9364,11821.48145,1.04,3.726219654,286.6735,318.502533,48956.9936,48852.99609
2228.35,2197.072266,211.7097,218.8502197,15612.4617,14171.02539,16620.5238,14148.08496,11073.63,11191.70508,1.8,4.595035553,272.6254,307.8223877,46021.1006,40525.14063
2178.74,2213.431885,210.9,191.1468506,15679.4092,15040.52832,16880.1245,15238.6875,12325.48,11969.36914,2.0535,3.234751701,280.1639,344.1083069,47556.8711,44066.25781
2191.26,2263.821045,206.53,256.8666687,15876.8538,16178.28613,16671.0248,15382.58008,12186.83,12398.02539,3.9944,1.388688326,303.5156,322.2467041,47440.0086,46711.56641
2361.54,2369.49292,211.04,342.1541443,16256.1055,16559.84961,16452.1961,16015.26367,11414.0069,12882.63672,2.8354,2.974041939,262.5054,316.7856445,46960.2293,49833.35938
2244.77,2359.363281,187.1224,280.8445129,15671.0152,15605.31738,16668.05,12654.3623,11453.09,12343.84668,2.0794,1.869585156,266.2386,224.8889771,46492.3656,42867.12891
2184.67,2295.675293,170.83,221.5405579,15935.5009,16310.00684,17151.22,16878.50391,11001.66,11442.93164,2.99,8.403264046,277.9221,286.8482971,46724.793,48630.61719
2201.3116,2303.264404,177.5562,194.2681885,15930.9693,16754.8457,17195.7884,17998.5957,11720.2128,11431.03906,2.2488,7.414205074,273.6206,279.2424927,47501.7077,50431.72266
2134.9234,2228.059082,177.7303,198.2810974,16323.7586,15967.5625,17807.0119,16675.04688,11362.3524,11574.86328,3.6417,3.775104284,292.708,323.8554993,48102.1263,47137.82813
2244.8807,2164.052002,150.6584,192.3291321,15957.1237,15769.88184,16739.883,17049.80078,11224.9886,11951.75586,2.3911,4.147621155,250.6968,376.3686523,46570.6223,46787.83594
2297.947,2098.951172,153.9662,154.3246155,15917.2851,13674.4834,16922.5706,13681.77246,11605.7901,11247.05664,2.1283,1.399864912,258.5594,334.486084,47158.2467,40681.66016
2292.9507,2156.700684,149.906,171.0903168,16017.2793,16534.5918,17006.8173,16041.33203,11212.91,11574.27539,1.83,3.615415573,259.145,380.0620728,46940.8383,47328.34766
2284.2082,2153.060791,144.5519,151.4411316,15838.855,17627.65039,17074.6794,16994.60547,12048.79,10988.31641,1.45,2.442019224,259.7241,411.271698,47652.2586,46026.33203
2332.4937,2188.518555,148.2391,178.4621277,16057.5534,17261.04688,17401.7724,21794.58008,11702.13,11530.92773,2.2179,3.899454594,278.8269,450.2189636,47923.2334,53623.48438
2347.7969,2335.867188,162.2595,225.3768921,16334.668,17437.44531,17814.9184,22162.95898,11782.523,11558.55762,2.5244,10.56161308,264.3519,450.1227417,48709.0421,55168.11328
2320.0637,2316.700684,156.8,238.855896,15676.3225,15565.43457,16880.283,12948.49316,12239.75,12118.87305,1.11,3.593082428,269.8125,262.2765808,47544.1417,41974.52734
